2026-02-27 07:59:03,228 | INFO | MainThread | logger initialized file=C:\AI\VideoGen\logs\20260227_075903_videogen_pid17768.log level=DEBUG
2026-02-27 07:59:03,259 | WARNING | MainThread | startup preload skipped on ROCm for stability. Set VIDEOGEN_ALLOW_ROCM_STARTUP_PRELOAD=1 to force.
2026-02-27 07:59:03,342 | DEBUG | MainThread | request method=GET path=/ query= status=200 elapsed_ms=22.5
2026-02-27 07:59:03,766 | INFO | MainThread | request method=GET path=/api/settings query= status=200 elapsed_ms=1.6
2026-02-27 07:59:03,774 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-image path=C:\AI\VideoGen\models\ali-vilab--i2vgen-xl
2026-02-27 07:59:03,786 | DEBUG | MainThread | request method=GET path=/api/models/local query= status=200 elapsed_ms=51.3
2026-02-27 07:59:03,885 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-image path=C:\AI\VideoGen\models\ali-vilab--text-to-video-ms-1.7b
2026-02-27 07:59:03,886 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-image path=C:\AI\VideoGen\models\ali-vilab--VACE-Wan2.1-1.3B-Preview
2026-02-27 07:59:03,886 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-image path=C:\AI\VideoGen\models\DFloat11--Wan2.1-T2V-14B-Diffusers-DF11
2026-02-27 07:59:03,887 | INFO | AnyIO worker thread | catalog skip incompatible task=image-to-image path=C:\AI\VideoGen\models\ali-vilab--i2vgen-xl
2026-02-27 07:59:03,888 | INFO | AnyIO worker thread | catalog skip incompatible task=image-to-image path=C:\AI\VideoGen\models\ali-vilab--text-to-video-ms-1.7b
2026-02-27 07:59:03,888 | INFO | AnyIO worker thread | catalog skip incompatible task=image-to-image path=C:\AI\VideoGen\models\ali-vilab--VACE-Wan2.1-1.3B-Preview
2026-02-27 07:59:03,888 | INFO | AnyIO worker thread | catalog skip incompatible task=image-to-image path=C:\AI\VideoGen\models\DFloat11--Wan2.1-T2V-14B-Diffusers-DF11
2026-02-27 07:59:03,889 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-image path=C:\AI\VideoGen\models\latent-consistency--lcm-lora-sdxl
2026-02-27 07:59:03,889 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-image path=C:\AI\VideoGen\models\madebyollin--sdxl-vae-fp16-fix
2026-02-27 07:59:03,890 | INFO | AnyIO worker thread | catalog skip incompatible task=image-to-image path=C:\AI\VideoGen\models\latent-consistency--lcm-lora-sdxl
