2026-02-27 07:58:01,681 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-video path=C:\AI\VideoGen\models\DFloat11--Wan2.1-T2V-14B-Diffusers-DF11
2026-02-27 07:58:01,681 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-video path=C:\AI\VideoGen\models\hf-internal-testing--tiny-stable-diffusion-pipe
2026-02-27 07:58:01,681 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-video path=C:\AI\VideoGen\models\latent-consistency--lcm-lora-sdxl
2026-02-27 07:58:01,681 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-video path=C:\AI\VideoGen\models\madebyollin--sdxl-vae-fp16-fix
2026-02-27 07:58:01,681 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-video path=C:\AI\VideoGen\models\SG161222--RealVisXL_V5.0
2026-02-27 07:58:01,681 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-video path=C:\AI\VideoGen\models\stabilityai--stable-diffusion-xl-base-1.0
2026-02-27 07:58:01,700 | INFO | asyncio-portal-1b279d1a960 | request method=GET path=/api/settings query= status=200 elapsed_ms=0.5
2026-02-27 07:58:01,704 | INFO | AnyIO worker thread | settings updated models_dir=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models outputs_dir=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_outputs_list_and_delete0\outputs tmp_dir=tmp logs_dir=logs log_level=INFO listen_port=8000 rocm_aotriton_experimental=True require_gpu=True allow_cpu_fallback=False preload_default_t2i_on_startup=True t2v_backend=auto t2v_npu_runner= t2v_npu_model_dir=
2026-02-27 07:58:01,704 | INFO | asyncio-portal-1b279cf4320 | request method=PUT path=/api/settings query= status=200 elapsed_ms=2.3
2026-02-27 07:58:01,706 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-image path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\bad--lora
2026-02-27 07:58:01,707 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-image path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\ok--image
2026-02-27 07:58:01,708 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-image path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\ok--image-image
2026-02-27 07:58:01,708 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-image path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\ok--text
2026-02-27 07:58:01,712 | INFO | AnyIO worker thread | catalog skip incompatible task=image-to-image path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\bad--lora
2026-02-27 07:58:01,712 | INFO | AnyIO worker thread | catalog skip incompatible task=image-to-image path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\ok--image
2026-02-27 07:58:01,712 | INFO | AnyIO worker thread | catalog skip incompatible task=image-to-image path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\ok--text
2026-02-27 07:58:01,715 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-video path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\bad--lora
2026-02-27 07:58:01,715 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-video path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\ok--image
2026-02-27 07:58:01,715 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-video path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\ok--image-image
2026-02-27 07:58:01,716 | INFO | AnyIO worker thread | catalog skip incompatible task=text-to-video path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\ok--text-image
2026-02-27 07:58:01,718 | INFO | AnyIO worker thread | catalog skip incompatible task=image-to-video path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\bad--lora
2026-02-27 07:58:01,719 | INFO | AnyIO worker thread | catalog skip incompatible task=image-to-video path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\ok--image-image
2026-02-27 07:58:01,719 | INFO | AnyIO worker thread | catalog skip incompatible task=image-to-video path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\ok--text
2026-02-27 07:58:01,719 | INFO | AnyIO worker thread | catalog skip incompatible task=image-to-video path=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_model_catalog_filters_inc0\models\ok--text-image
2026-02-27 07:58:01,731 | INFO | asyncio-portal-1b279d30b60 | request method=GET path=/api/settings query= status=200 elapsed_ms=0.5
2026-02-27 07:58:01,738 | INFO | AnyIO worker thread | settings updated models_dir=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_text2image_task_lifecycle0\models outputs_dir=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_text2image_task_lifecycle0\outputs tmp_dir=C:\Users\tetsuomorisaki\AppData\Local\Temp\pytest-of-tetsuomorisaki\pytest-59\test_text2image_task_lifecycle0\tmp logs_dir=logs log_level=INFO listen_port=8000 rocm_aotriton_experimental=True require_gpu=True allow_cpu_fallback=False preload_default_t2i_on_startup=True t2v_backend=auto t2v_npu_runner= t2v_npu_model_dir=
2026-02-27 07:58:01,739 | INFO | asyncio-portal-1b279d32300 | request method=PUT path=/api/settings query= status=200 elapsed_ms=6.5
2026-02-27 07:58:04,030 | INFO | AnyIO worker thread | task created id=4f1f2902-4022-4493-b9d1-2c270cfd103d type=text2image message=Generation queued
2026-02-27 07:58:04,030 | INFO | AnyIO worker thread | text2image requested task_id=4f1f2902-4022-4493-b9d1-2c270cfd103d model=(default) loras=(none) lora_scale=1.0 vae=(none) prompt_len=11 negative_len=0 steps=4 guidance=7.5 size=320x256 seed=None
2026-02-27 07:58:04,030 | INFO | asyncio-portal-1b279d18140 | request method=POST path=/api/generate/text2image query= status=200 elapsed_ms=2302.4
2026-02-27 07:58:04,048 | INFO | Thread-40 (text2image_worker) | text2image start task_id=4f1f2902-4022-4493-b9d1-2c270cfd103d model=runwayml/stable-diffusion-v1-5 loras=(none) lora_scale=1.0 vae=(none) steps=4 guidance=7.5 size=320x256 seed=None
2026-02-27 07:58:04,048 | INFO | Thread-40 (text2image_worker) | task status id=4f1f2902-4022-4493-b9d1-2c270cfd103d type=text2image queued->running progress=0.050 message=Loading model
2026-02-27 07:58:04,049 | INFO | Thread-40 (text2image_worker) | text2image inference start task_id=4f1f2902-4022-4493-b9d1-2c270cfd103d model=runwayml/stable-diffusion-v1-5 steps=4 guidance=7.5 size=320x256 callback_keys=(none)
